application_id,application_name
PT01,"Tuyển thẳng & UTXT cho người tham gia/đạt giải các kỳ thi HSG, KHKT"
PT02,UTXT cho học sinh giỏi nhất trường THPT & UTXT cho học sinh giỏi
PT03,Kết quả kỳ thi THPTQG
PT04,Kết quả kỳ thi ĐGNL
PT05,Dựa trên kỳ thi quốc tế
PT06,Dành cho các ngành có hệ CLC/TT
PT07,Đặc cách tốt nghiệp THPT
PT7B,ĐGNL đợt 2
