course_id,course_name
MTH10440,Phương pháp số trong Đại số tuyến tính nâng cao
MTH10444,Hệ phương trình đạo hàm riêng hyperbolic của định luật bảo toàn
MTH10445,Nhập môn phương pháp thể tích hữu hạn & ứng dụng
MTH10446,Vận trù học
MTH10447,Lý thuyết quy hoạch phi tuyến
MTH10449,Quy hoạch tuyến tính
MTH10450,Thuật toán tối ưu
MTH10451,Seminar Giải tích
MTH10460,Các phép biến đổi tích phân và ứng dụng
MTH10462,Lý thuyết độ đo
MTH10461,Bài toán không chỉnh
MTH10465,Phương trình vi tích phân
MTH10469,Rẽ nhánh trong phương trình vi phân
MTH10470,Lý Thuyết ổn định và ứng dụng
MTH10471,Phương trình vi phân đa trị
MTH10473,Phương trình vi phân ngẫu nhiên
MTH10476,Giải tích điều hòa
MTH10478,Topo vi phân
MTH10480,Hình học vi phân
MTH10485,Chuỗi thời gian
MTH10489,Giải số cho bài toán ngược
MTH10490,Toán tử phi biến
MTH10491,Phép tính biến phân
MTH10492,Topo đại số
MTH10494,Lý thuyết hàm phức nhiều biến
MTH10497,Lý thuyết biểu diễn nhóm hữu hạn
MTH10498,Nhập môn lý thuyết số
MTH10499,Lý thuyết trường hữu hạn
MTH10500,Mô-đun và ứng dụng
MTH10501,Seminar đại số
MTH10502,Lý thuyết đồ thị
MTH10503,Đại số máy tính
MTH10504,Lý thuyết đồ thị đại số
MTH10505,Đại số phân bậc
MTH10506,Đại số đồ thị
MTH10507,Lý thuyết tổ hợp
MTH10508,Seminar xác suất thống kê
MTH10509,Các mô hình ngẫu nhiên trong khoa học - đời sống
MTH10510,Thống kê trong sinh học
MTH10511,Mô hình thống kê tuyến tính 
MTH10512,Thống kê kinh tế
MTH10513,Xử lý số liệu thống kê
MTH10514,Thống kê Bayes
MTH10515,Thống kê phi tham số
MTH10519,Xác suất cho bảo hiểm
MTH10517,Lý thuyết và phương pháp chọn mẫu
MTH10518,Giải tích hàm trong thống kê
MTH10520,Seminar cơ học
MTH10521,Phương pháp sai phân hữu hạn
MTH10524,Động lực học hệ nhiều vật & Robotics
MTH10526,Dao động ngẫu nhiên
MTH10527,Khí động lực học
MTH10532,Seminar Giải tích số
MTH10533,Giải tích số 2
MTH10535,Các phương pháp phân chia miền
MTH10537,Tính toán mô phỏng cho các bài toán phương trình đạo hàm riêng với Julia
MTH10538,Tối ưu hóa ứng dụng
MTH10539,Quy hoạch tuyến tính nâng cao
MTH10540,Lý thuyết và thuật toán tối ưu không trơn
MTH10541,Lý thuyết trò chơi
MTH10543,Cơ sở giải tích lồi và quy hoạch lồi
MTH10544,Điều kiện tối ưu không trơn
MTH10545,Điều khiển tối ưu
