course_id,course_name,credits,theoretical_credits,practical_credits,stage,optional_11,optional_28,compulsory_for_specific_11,course_group
PHY00001,Vật l‎‎ý đại cương 1 (Cơ - Nhiệt),3,3,0,1,TC,TC,NO,
PHY00002,Vật l‎‎ý đại cương 2 (Điện từ - Quang),3,3,0,1,TC,TC,NO,
PHY00081,Thực hành Vật l‎‎ý đại cương,2,0,2,1,TC,TC,NO,
MTH10442,Toán rời rạc 2A,4,3,1,2,TC,NO,"110309, 110310, 110310",
MTH10171,Nhập môn Khoa học dữ liệu,4,3,1,2,NO,BB,NO,Thuật toán
MTH10311,Mạng máy tính,4,3,1,2,NO,BB,NO,Thuật toán
MTH10401,Lý thuyết độ đo và xác suất,4,4,0,2,TC,NO,"110101, 110102, 110103, 110104, 110205, 110206, 110207, 110208",Toán
MTH10402,Đại số 2A,4,3,1,2,TC,NO,"110101, 110102, 110103, 110104, 110205, 110206, 110207, 110208",Toán
MTH10403,Giải tích hàm,4,4,0,2,TC,NO,"110101, 110102, 110103, 110104, 110205, 110206, 110207, 110208",Toán
MTH10404,Lý thuyết thống kê,3,2,1,2,BB,BB,"110101, 110102, 110103, 110104, 110205, 110206, 110207, 110208, 110309, 110310, 110311",XS-TK
MTH10406,Toán rời rạc,3,3,0,2,TC,NO,"110309, 110310, 110311",Toán
MTH10103,Chất lượng và quản lý chất lượng,3,2,1,3,TC,NO,NO,
MTH10106,Số học và logic toán học,3,2,1,3,TC,NO,110104,Toán
MTH10119,Toán bằng tiếng Anh 1,2,2,0,3,TC,NO,NO,
MTH10120,Toán bằng tiếng Anh 2,2,2,0,3,TC,NO,NO,
MTH10121,Đại số sơ cấp,4,4,0,3,TC,NO,NO,
MTH10122,HÌnh học sơ cấp,4,4,0,3,TC,NO,NO,
MTH10123,Ứng dụng toán cao cấp để giải toán sơ cấp,4,4,0,3,TC,NO,NO,Thuật toán
MTH10124,Tổ chức và quản lý lớp học,4,3,1,3,TC,NO,NO,
MTH10125,Kỹ thuật đánh giá lớp học,3,2,1,3,TC,NO,NO,
MTH10126,Seminar Sư phạm,4,4,0,3,TC,NO,NO,
MTH10201,Toán tài chính căn bản,4,4,0,3,TC,NO,110102,Toán
MTH10202,Dự báo,4,3,1,3,TC,NO,110102,Thuật toán
CSC00003,Tin học cơ sở,3,1,2,1,BB,BB,"110101, 110102, 110103, 110104, 110205, 110206, 110207, 110208, 110309, 110310, 110311",Kỹ năng mềm
MTH10101,Tâm lý học sư phạm,4,3,1,3,TC,NO,110104,Kỹ năng mềm
MTH10102,Phương pháp dạy học tối ưu,3,2,1,3,TC,NO,110104,Kỹ năng mềm
MTH10104,Giáo dục học,3,3,0,3,TC,NO,110104,Kỹ năng mềm
MTH10105,Lý luận dạy học,3,2,1,3,TC,NO,110104,Kỹ năng mềm
MTH10110,Phương pháp giảng dạy toán 1,3,2,1,3,TC,NO,110104,Kỹ năng mềm
MTH10111,Phương pháp giảng dạy toán 2,3,2,1,3,TC,NO,110104,Kỹ năng mềm
MTH10112,Thực tập sư phạm toán,4,0,4,3,TC,NO,110104,Kỹ năng mềm
MTH10203,Mô hình toán tài chính,4,4,0,3,TC,TC,110102,Thuật toán
MTH10204,Lý thuyết tài chính tiền tệ,4,4,0,3,TC,NO,110102,Thuật toán
MTH10209,Toán tài chính nâng cao,4,3,1,3,TC,NO,110102,Toán
MTH10214,Vi mô định lượng,4,4,0,3,TC,NO,NO,
MTH10215,Vĩ mô định lượng,4,4,0,3,TC,NO,NO,
MTH10216,Quản trị rủi ro,4,4,0,3,TC,NO,NO,
MTH10217,Tài chính doanh nghiệp,4,4,0,3,TC,NO,NO,
MTH10218,Seminar toán tài chính,4,4,0,3,TC,NO,NO,
